title,body,rating,review_date,reviewer_name,reviewer_email,product_handle,picture_urls
"Thank you, good job","Thank you, good job",10,2025-01-01,F***a.,,resin-kit-m90022-knights-hospitaller-90-mm,
Figurini ottimi ben stampati e molto dettagliati....,Figurini ottimi ben stampati e molto dettagliati. Spedizione veloce,10,2025-01-01,m***r.,,1-35-model-kit-resin-kit-tank-duo,
Sensacional a figura.,Sensacional a figura.,10,2025-01-01,Lucy Q.,,1-35-resin-kit-soldier-sitting-on-the-stone-resting-313,
Très très bien emballé et livraison très rapide et...,Très très bien emballé et livraison très rapide et très soignée,10,2025-01-01,S***t.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
Amazing detail.... Could not get better!!,Amazing detail.... Could not get better!!,10,2025-01-01,i***r.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
très belle figurine,très belle figurine,10,2025-01-01,D***n.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
fast excellent service,fast excellent service,10,2025-01-01,D***r.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
Boa figura.,Boa figura.,10,2025-01-01,Thomas X.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
quality of the casting appears to be good with nic...,"quality of the casting appears to be good with nice sharp details. I'm looking forward to assembly and painting of these figures and plan to buy more in future if they are good. shipping was fast, which is also a bonus and they were packed well.",10,2025-01-01,Ben J.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
fast excellent service,fast excellent service,10,2025-01-01,D***r.,,1-35-model-kit-resin-kit-two-people-driving,
Well pleased.,Well pleased.,10,2025-01-01,b***r.,,1-35-model-kit-resin-kit-two-people-driving,
"everything perfect, very good figures, very fast d...","everything perfect, very good figures, very fast delivery, well packed, top shop!!!",10,2025-01-01,K***n.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
Excellent figures and casting. Very happy with thi...,Excellent figures and casting. Very happy with this purchase!,10,2025-01-01,j***r.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
El pedido tardÃ³ mÃ¡s de un mes en llegar. Aparte...,"El pedido tardÃ³ mÃ¡s de un mes en llegar. Aparte de eso, las figuras son de calidad y el embalaje es bueno",8,2025-01-01,Katie A.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
Awesome product awesome service very good offers....,Awesome product awesome service very good offers. A must stop one shop for future purchases. Highly recommended,10,2025-01-01,Hannah O.,,1-35-model-kit-resin-kit-street-fighting-325,
Excellent figure. Well made and easy to build and...,Excellent figure. Well made and easy to build and paint!,10,2025-01-01,D***r.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
la figura de la mujer bolchevique tiene muy buena...,"la figura de la mujer bolchevique tiene muy buena pinta, ya os contaré....",10,2025-01-01,Olivia O.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
I’m really pleased with this and it will go well w...,I’m really pleased with this and it will go well with a diorama I’m doing cheers,10,2025-01-01,a***r.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
A beautiful figure. Captures an iconic meld of bea...,A beautiful figure. Captures an iconic meld of beauty and strength. Will my painting skills do it justice?,10,2025-01-01,R***y.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
Покупаю не первый раз у этого продавца. Качество н...,Покупаю не первый раз у этого продавца. Качество неплохое и быстрая скорость доставки.,10,2025-01-01,Chris L.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
A beautiful figure. Pose and fine facial detail ar...,A beautiful figure. Pose and fine facial detail are impressive,10,2025-01-01,R***y.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
Великолепное литье и очень тонкая проработка детал...,Великолепное литье и очень тонкая проработка деталей! Очень доволен!,10,2025-01-01,П***ч.,,1-35-resin-kit-wwii-soviet-navy-soldiers-333,
Buen modelo. Pero ha tardado casi un mes en llegar...,Buen modelo. Pero ha tardado casi un mes en llegar.,8,2025-01-01,Emma W.,,1-35-resin-kit-wwii-soviet-navy-soldiers-333,
